file_name,category
A Collection of Life,Other
Agreement-Regarding-Quantum-Leap,Academic Paper
AugmentAI - Empower through intelligent automation,General Article
Celestial Edge,Business Proposal
Charting the Landscape of Electroweak Symmetry,Academic Paper
Chat UI Pattern,General Article
compujai,Technical Documentation
Consolidated Paperclips,Legal Document
DreamWeaver5000,General Article
Dust and Dreams,Other
How I use LLMs as a staff engineer _ sean goedecke,General Article
Lightweight Authenticated Cryptography; Balancing Security and Efficiency in Resource-Constrained Environments,Academic Paper
Multifaceted Exploration,Business Proposal
Proposal for the Implementation of DAO for Enhanced Data Governance and Collaboritive Research in Genomic Sequencing,Academic Paper
Python Patterns,Technical Documentation
python_doc,General Article
Unveiling the Universe's Secrets,General Article
Why Is This C.E.O. Bragging About Replacing Humans With A.I._ - The New York Times,General Article
